"Specialty_Code","Specialty_Name"
"IM","Internal Medicine"
"IMD","Internal Medicine/Dermatology"
"IMG","Internal Medicine - Geriatrics"
"INM","Internal Medicine / Nuclear Medicine"
"IPM","Internal Medicine - Preventive Medicine"
"ISM","Internal Medicine - Sports Med"
"LM","Legal Medicine"
"MDG","Internal Medicine / Medical Genetics"
"MDM","Medical Management"
"MEM","Internal Medicine - Emergency Medicine"
"MFM","Maternal & Fetal Medicine"
"MG","Medical Genetics"
"MGG","Molecular Genetic Pathology"
"MGP","Molecular Genetic Pathology"
"MM","Medical Microbiology"
"MN","Internal Medicine - Neurology"
"MP","Internal Medicine - Psychiatry"
"MPD","Internal Medicine - Pediatrics"
"MPM","Internal Medicine - Physical Medicine And Rehab"
"MSR","Musculoskeletal Radiology"
"N","Neurology"
"NC","Nuclear Cardiology"
"NDN","Neurodevelopmental Disabilities"
"NDP","Neurodevelopmental Disabilities"
"NEP","Nephrology"
"NM","Nuclear Medicine"
"NMN","Neuromuscular Medicine"
"NMP","Neuromuscular Medicine (Physical Med & Rehab)"
"NNM","Neurology / Nuclear Medicine"
"NO","Neurotology (Otolaryngology)"
"NP","Neuropathology"
"NPM","Neonatal-Perinatal Medicine"
"NPR","Neurology - Physical Med And Rehab"
"NR","Nuclear Radiology"
"NRN","Neurology/diagnostic Radiology/Neuroradiology"
"NS","Neurological Surgery"
"NSP","Pediatric Neurological Surgery"
"NTR","Nutrition"
"NUP","Neuropsychiatry"
"OAR","Orthopedic Adult Recon Surgery"
"OBG","Obstetrics & Gynecology"
"OBS","Obstetrics"
"OCC","Obstetrics/gyn Critical Care"
"OFA","Orthopedics (foot & Ankle)"
"OM","Occupational Medicine"
"OMF","Oral And Maxillofacial Surgery"
"OMM","Osteopathic Manipulative Medicine"
"OMO","Orthopedic Musculo Oncology"
"ON","Oncology"
"OP","Orthopedic Pediatric Surgery"
"OPH","Ophthalmology"
"ORS","Orthopedic Surgery"
"OS","Other Specialty"
"OSM","Orthopedic Sports Medicine"
"OSS","Orthopaedic Surgery Of Spine"
"OTO","Otolaryngology"
"OTR","Orthopedic Surgery - Trauma"
"P","Psychiatry"
"PA","Pharmacology - Clinical"
"PAN","Pediatric Anesthesiology"
"PCC","Pulmonary Critical Care Med."
"PCH","Pathology - Chemical"
"PCP","Pathology - Cytopathology"
"PCS","Pediatric Cardiothoracic Surgery"
"PD","Pediatrics"
"PDA","Pediatric Allergy"
"PDC","Pediatric Cardiology"
"PDD","Pediatric Dermatology"
"PDE","Pediatric Endocrinology"
"PDI","Pediatric Infectious Diseases"
"PDM","Pediatric Dermatology"
"PDO","Pediatric Otolaryngology"
"PDP","Pediatric Pulmonology"
"PDR","Pediatric Radiology"
"PDS","Pediatric Surgery"
"PDT","Pediatric Medical Toxicology"
"PE","Pediatric Emergency Medicine-EM"
"PEM","Pediatric Emergency Medicine"
"PFP","Forensic Psychiatry"
"PG","Pediatric Gastroenterology"
"PHL","Phlebology"
"PHM","Pharmaceutical Medicine"
"PHO","Pediatric Hematology Oncology"
"PHP","Public Health/genl Prevent Med"
"PLI","Pediatrics/diag Lab Immunology"
"PLM","Palliative Medicine"
"PM","Physical Medicine & Rehab"
"PME","Pain Management"
"PMG","Pediatrics - Medical Genetics"
"PMM","Pain Medicine"
"PMN","Pain Medicine (Neurology)"
"PMP","Pediatrics - Physical Med And Rehab"
"PN","Pediatric Nephrology"
"PO","Ophthalmology/pediatrics"
"PP","Pediatric Pathology"
"PPM","Pediatrics/Physical Medicine and Rehabilitation"
"PPN","Pain Medicine (Psychiatry)"
"PPR","Pediatric Rheumatology"
"PRD","Procedural Dermatology"
"PRO","Proctology"
"PRS","Sports Medicine (Physical Medicine & Rehab)"
"PS","Plastic Surgery"
"PSH","Plastic Surgery - Head & Neck"
"PSI","Plastic Surgery – Integrated"
"PSM","Pediatric Sports Medicine"
"PSO","Plastic Surgery within the Head & Neck (ENT)"
"PSP","Plastic Surgery within the Head & Neck "
"PTH","Pathology - Anatomic/clinical"
"PTP","Pediatric Transplant Hepatology"
"PTX","Preventive Medical Toxicology"
"PUD","Pulmonary Disease"
"PYA","Psychoanalysis"
"PYG","Geriatric Psychiatry"
"PYM","Psychosomatic Medicine"
"PYN","Psychiatry - Neurology"
"R","Radiology"
"REN","Reproductive Endocrinology"
"RHU","Rheumatology"
"RNR","Neuroradiology"
"RO","Radiation Oncology"
"RP","Radiological Physics"
"RPM","Pediatric Rehab Medicine"
"SCI","Spinal Cord Injury"
"SME","Sleep Medicine"
"SMI","Sleep Medicine (Internal Medicine)"
"SMN","Sleep Medicine (Psych & Neurology)"
"SMO","Sleep Medicine (Otolaryngology)"
"SMP","Sleep Medicine (Pediatrics)"
"SO","Surgical Oncology"
"SP","Selective Pathology"
"THI","Transplant Hepatology (Internal Medicine)"
"THP ","Transplant Hepatology (Internal Medicine)"
"TRS","Traumatic Surgery"
"TS","Thoracic Surgery"
"TSI","Thoracic Surgery - Integrated"
"TTS","Transplant Surgery"
"TY","Transitional Year"
"U","Urological Surgery"
"UCM","Urgent Care Medicine"
"UM","Undersea Medicine"
"UME","Undersea and Hyperbaric Medicine-EM"
"UP","Pediatric Urology"
"US","Unspecified Specialty"
"VIR","Vascular & Interventional Rad"
"VM","Vascular Medicine"
"VN","Vascular Neurology"
"VS","Vascular Surgery"
"VSI","Vascular Surgery- Integrated"
